,Fecha,Precio_blue,Precio_oficial
0,2022-08-05 12:00:59.231445,237.78717642690754,120.50964216375723
1,2022-08-06 12:00:59.231445,237.94461518166645,120.5729272233948
2,2022-08-07 12:00:59.231445,238.10205393643992,120.63621228303236
3,2022-08-08 12:00:59.231445,238.25949269121338,120.6994973426772
4,2022-08-09 12:00:59.231445,238.41693144598685,120.76278240231477
5,2022-08-10 12:00:59.231445,238.5743702007603,120.82606746195233
6,2022-08-11 12:00:59.231445,238.73180895553378,120.88935252159717
7,2022-08-12 12:00:59.231445,238.88924771030725,120.95263758123474
8,2022-08-13 12:00:59.231445,239.0466864650807,121.0159226408723
9,2022-08-14 12:00:59.231445,239.20412521985418,121.07920770051714
10,2022-08-15 12:00:59.231445,239.36156397462764,121.14249276015471
11,2022-08-16 12:00:59.231445,239.5190027294011,121.20577781979227
12,2022-08-17 12:00:59.231445,239.67644148417457,121.26906287943712
13,2022-08-18 12:00:59.231445,239.8338802389335,121.33234793907468
14,2022-08-19 12:00:59.231445,239.99131899370695,121.39563299871224
15,2022-08-20 12:00:59.231445,240.14875774848042,121.45891805835709
16,2022-08-21 12:00:59.231445,240.3061965032539,121.52220311799465
17,2022-08-22 12:00:59.231445,240.46363525802735,121.58548817763221
18,2022-08-23 12:00:59.231445,240.62107401280082,121.64877323727706
19,2022-08-24 12:00:59.231445,240.77851276757428,121.71205829691462
20,2022-08-25 12:00:59.231445,240.93595152234775,121.77534335655218
21,2022-08-26 12:00:59.231445,241.09339027712122,121.83862841618975
22,2022-08-27 12:00:59.231445,241.25082903189468,121.90191347583459
23,2022-08-28 12:00:59.231445,241.40826778666815,121.96519853547215
24,2022-08-29 12:00:59.231445,241.5657065414416,122.02848359510972
25,2022-08-30 12:00:59.231445,241.72314529621508,122.09176865475456
26,2022-08-31 12:00:59.231445,241.880584050974,122.15505371439212
27,2022-09-01 12:00:59.231445,242.03802280574746,122.21833877402969
28,2022-09-02 12:00:59.231445,242.19546156052093,122.28162383367453
29,2022-09-03 12:00:59.231445,242.3529003152944,122.3449088933121
30,2022-09-04 12:00:59.231445,242.51033907006786,122.40819395294966
31,2022-09-05 12:00:59.231445,242.66777782484132,122.4714790125945
32,2022-09-06 12:00:59.231445,242.8252165796148,122.53476407223206
33,2022-09-07 12:00:59.231445,242.98265533438826,122.59804913186963
34,2022-09-08 12:00:59.231445,243.14009408916172,122.66133419151447
35,2022-09-09 12:00:59.231445,243.2975328439352,122.72461925115203
36,2022-09-10 12:00:59.231445,243.45497159870865,122.7879043107896
37,2022-09-11 12:00:59.231445,243.61241035348212,122.85118937043444
38,2022-09-12 12:00:59.231445,243.76984910824103,122.914474430072
39,2022-09-13 12:00:59.231445,243.9272878630145,122.97775948970957
40,2022-09-14 12:00:59.231445,244.08472661778796,123.04104454935441
41,2022-09-15 12:00:59.231445,244.24216537256143,123.10432960899197
42,2022-09-16 12:00:59.231445,244.3996041273349,123.16761466862954
43,2022-09-17 12:00:59.231445,244.55704288210836,123.23089972827438
44,2022-09-18 12:00:59.231445,244.71448163688183,123.29418478791195
45,2022-09-19 12:00:59.231445,244.8719203916553,123.35746984754951
46,2022-09-20 12:00:59.231445,245.02935914642876,123.42075490719435
47,2022-09-21 12:00:59.231445,245.18679790120223,123.48403996683192
48,2022-09-22 12:00:59.231445,245.3442366559757,123.54732502646948
49,2022-09-23 12:00:59.231445,245.50167541074916,123.61061008610704
50,2022-09-24 12:00:59.231445,245.65911416552262,123.67389514575189
51,2022-09-25 12:00:59.231445,245.81655292028154,123.73718020538945
52,2022-09-26 12:00:59.231445,245.973991675055,123.80046526502701
53,2022-09-27 12:00:59.231445,246.13143042982847,123.86375032467186
54,2022-09-28 12:00:59.231445,246.28886918460194,123.92703538430942
55,2022-09-29 12:00:59.231445,246.4463079393754,123.99032044394698
56,2022-09-30 12:00:59.231445,246.60374669414887,124.05360550359183
57,2022-10-01 12:00:59.231445,246.76118544892233,124.11689056322939
58,2022-10-02 12:00:59.231445,246.9186242036958,124.18017562286695
59,2022-10-03 12:00:59.231445,247.07606295846927,124.2434606825118
60,2022-10-04 12:00:59.231445,247.23350171324273,124.30674574214936
61,2022-10-05 12:00:59.231445,247.3909404680162,124.37003080178692
62,2022-10-06 12:00:59.231445,247.54837922278966,124.43331586143177
63,2022-10-07 12:00:59.231445,247.70581797754858,124.49660092106933
64,2022-10-08 12:00:59.231445,247.86325673232204,124.5598859807069
65,2022-10-09 12:00:59.231445,248.0206954870955,124.62317104035174
66,2022-10-10 12:00:59.231445,248.17813424186897,124.6864560999893
67,2022-10-11 12:00:59.231445,248.33557299664244,124.74974115962686
68,2022-10-12 12:00:59.231445,248.4930117514159,124.8130262192717
69,2022-10-13 12:00:59.231445,248.65045050618937,124.87631127890927
70,2022-10-14 12:00:59.231445,248.80788926096284,124.93959633854683
71,2022-10-15 12:00:59.231445,248.9653280157363,125.00288139819168
72,2022-10-16 12:00:59.231445,249.12276677050977,125.06616645782924
73,2022-10-17 12:00:59.231445,249.28020552528324,125.1294515174668
74,2022-10-18 12:00:59.231445,249.4376442800567,125.19273657711165
75,2022-10-19 12:00:59.231445,249.59508303483017,125.25602163674921
76,2022-10-20 12:00:59.231445,249.75252178958908,125.31930669638678
77,2022-10-21 12:00:59.231445,249.90996054436255,125.38259175602434
78,2022-10-22 12:00:59.231445,250.067399299136,125.44587681566918
79,2022-10-23 12:00:59.231445,250.22483805390948,125.50916187530675
80,2022-10-24 12:00:59.231445,250.38227680868295,125.57244693494431
